league,year,title,quote
National League,1946,1946 NATIONAL LEAGUE,"""An eephus (the 'name' of the pitch thrown by Rip Sewell) ain't nothing and that's what that ball is."" - Pittsburgh outfielder Maurice Van Robays (who is credited with naming the pitch)"
National League,1947,1947 NATIONAL LEAGUE,"""(Leo) Durocher has not measured up to the standards expected or required of managers of our baseball teams."" - Commissioner Harry Chandler"
National League,1948,1948 NATIONAL LEAGUE,"""I've had pretty good success with Stan (Musial) by throwing him my best pitch and backing up third."" - Carl Erskine"
National League,1949,1949 NATIONAL LEAGUE,"""I think one of the most difficult things for anyone who's played baseball is to accept the fact that maybe the players today are playing just as well as ever."" - Ralph Kiner"
National League,1950,1950 NATIONAL LEAGUE,"""The Whiz Kids' accomplishment is one of those that endures, and this book (The Whiz Kids and the 1950 Pennant) tells their story well. It is, in fact, a three-base hit: one part Roberts' recollections, one part reminiscences by his teammates and others, and one part Rogers' narrative. Together they create a very pleasing whole."" - Steve Gietschier of The Sporting News"
National League,1951,1951 NATIONAL LEAGUE,"""(Ralph) Branca throws, there's a long fly, it's gonna be, I believe, THE GIANTS WIN THE PENNANT, THE GIANTS WIN THE PENNANT, THE GIANTS WIN THE PENNANT!"" - Russ Hodges"
National League,1952,1952 NATIONAL LEAGUE,"""(Hank) Aaron is the best prospect see in the Negro League since Willie Mays."" - The Chicago Defender (1952)"
National League,1953,1953 NATIONAL LEAGUE,"""The players can do more for themselves than any outside representative."" - National League President Warren Giles"
National League,1954,1954 NATIONAL LEAGUE,"""You get a few handshakes and walk away from 20 years of your life (when he left the St. Louis Cardinals). I cried like a baby."" - Future Hall of Famer Enos Slaughter"
National League,1955,1955 NATIONAL LEAGUE,"""To do what he (Jackie Robinson) did has got to be the most tremendous thing I've ever seen in sports."" - Pee Wee Reese"
National League,1956,1956 NATIONAL LEAGUE,"""Close don't count in baseball. Close only counts in horseshoes and hand grenades."" - Reds outfielder Frank Robinson on finishing two games behind the Brooklyn Dodgers"
National League,1957,1957 NATIONAL LEAGUE,"""If thirteen major league teams can come up with colored players, why can't the other three?"" - Jackie Robinson (1957 retirement comment about Philadelphia, Boston & Detroit)"
National League,1958,1958 NATIONAL LEAGUE,"""Let's keep the Dodgers in Brooklyn, So send the Phils to Trenton, the Giants to St. Paul, but keep the Dodgers in Brooklyn, the greatest borough of all."" - Phil Foster"
National League,1959,1959 NATIONAL LEAGUE,"""Harvey Kuenn gave it an honest pursuit, but the only center fielder in baseball who could have caught it hit it."" - Bob Stevens in the San Francisco Chronicle (July 8, 1959)"
National League,1960,1960 NATIONAL LEAGUE,"""There wasn't any one thing (that caused him to resign after an Opening Day loss in 1960), just a lot of things. I'm forty-nine and I want to live to be fifty."" - Phillies Manager Eddie Sawyer"
National League,1961,1961 NATIONAL LEAGUE,"""When I'm not hitting, I don't hit nobody. But, when I'm hitting, I hit anybody."" - Willie Mays"
National League,1962,1962 NATIONAL LEAGUE,"""When I go back in my mind to our play in 1962, I just wonder how we ever got to win 40 games."" - New York Mets manager Casey Stengel"
National League,1963,1963 NATIONAL LEAGUE,"""That way I can see where I've been (on why he ran around the bases facing backwards after hitting his 100th career home run). I always know where I'm going."" - Piersall, Jimmy. Post Game Press Conference. 23 June 1963."
National League,1964,1964 NATIONAL LEAGUE,"""Put a quote here. Try to find one that is applicable to the year being reviewed AND if possible, one that was made during the year itself."""
National League,1965,1965 NATIONAL LEAGUE,"""There are four-hundred ninety-nine major league ballplayers. Then there's Willie Mays"" - Unknown"
National League,1966,1966 NATIONAL LEAGUE,"""You know, I never had a cross word with anybody in 15 years in Milwaukee. Everybody had fun. We'd get to the park 2 or 3 hours early, sit around 2 or 3 hours after the game. Boy, that was enjoyable."" - Eddie Mathews"
National League,1967,1967 NATIONAL LEAGUE,"""My idea of managing is giving the ball to Tom Seaver and sitting down and watching him work."" - Sparky Anderson"
National League,1968,1968 NATIONAL LEAGUE,"""If I ever made a mistake inside, all right, but the outside is mine and don't you forget it."" - Bob Gibson"
National League,1969,1969 NATIONAL LEAGUE,"""It was the best stuff I ever had (on September 15, 1969 when he struck out a National League record 19 batters). When I had 9 strikeouts I decided to go all the way, but it cost me the game because I started to challenge every batter."" - Steve Carlton"
National League,1970,1970 NATIONAL LEAGUE,"""It took me 17 years to get 3,000 hits in baseball and I did it in one afternoon on the golf course."" - Hank Aaron (after hitting #3,000 on May 17, 1970)"
National League,1971,1971 NATIONAL LEAGUE,"""After being traded four times, I realized that it's (Major League Baseball) nothing but a business. I treat my horses better than the owners treat us."" - Dick Allen"
National League,1972,1972 NATIONAL LEAGUE,"""Youngsters of Little League can survive undercoaching a lot better than overcoaching."" - Hall of Famer Willie Mays"
National League,1973,1973 NATIONAL LEAGUE,"""In my heart, I am a sad man. Just to hear you (Shea Stadium fans) cheer like this for me and not be able to do anything about it makes me a very sad man. This is my farewell."" - Willie Mays (September 25, 1973)"
National League,1974,1974 NATIONAL LEAGUE,"""My boy has a chance to do it (break Babe Ruth's career home run record). He takes care of himself and nothing comes in front of baseball for Henry. Nothing. On days when he is feeling good, it's just too bad for the pitchers."" - Estella Aaron (Hank Aaron's Mother)"
National League,1975,1975 NATIONAL LEAGUE,"""He's the kind of man you'd want your kids to grow up to be like. Tom's a studious player, devoted to his profession, a loyal cat, trustworthy - everything a Boy Scout's supposed to be. In fact, we call him 'Boy Scout.'"" - Cleon Jones"
National League,1976,1976 NATIONAL LEAGUE,"""If you're going to burn the flag, don't do it in front of me. I've been to too many Veterans' Hospitals and seen too many broken bodies of guys who tried to protect it."" - Cubs centerfielder Rick Monday"
National League,1977,1977 NATIONAL LEAGUE,"""When we lose, I can't sleep at night. When we win, I can't sleep at night. But when you win, you wake up feeling better."" - New York Mets manager Joe Torre"
National League,1978,1978 NATIONAL LEAGUE,"""A good professional athlete must have the love of a little boy and the good players feel the kind of love for the game that they did when they were Little Leaguers."" - New York Mets ace Tom Seaver"
National League,1979,1979 NATIONAL LEAGUE,"""The 1979 Pittsburgh Pirates, emphasizing the team concept to the point that they thought of themselves as a family (and even adopted a popular disco record as their theme song), parlayed their togetherness into a World Series championship. And, fittingly enough, a fellow known affectionately as 'Pops' was the big man in this family."" - The Sporting News"
National League,1980,1980 NATIONAL LEAGUE,"""We (ex-Brooklyn Dodgers) wept when they tore down Ebbets Field. They tore down a little piece of me."" - Duke Snider at his HOF induction on August 3, 1980"
National League,1981,1981 NATIONAL LEAGUE,"""He (Bob Gibson) told me to get back behind the batter (at the catcher's position). That the only thing I knew about pitching was that it was hard to hit."" - Teammate / Catcher Tim McCarver at Bob Gibson's HOF Induction on August 2, 1981"
National League,1982,1982 NATIONAL LEAGUE,"""I should make it (Ty Cobb's all-time hits record) sometime before the All-Star Game in 1984."" - Pete Rose on June 22, 1982 (moments after moving past Hank Aaron for second place all-time)"
National League,1983,1983 NATIONAL LEAGUE,"""The difference between the old ballplayer and the new ballplayer is the jersey. The old ballplayer cared about the name on the front. The new ballplayer cares about the name on the back."" - Steve Garvey"
National League,1984,1984 NATIONAL LEAGUE,"""If I stole a base, it was to help us win a game, and I like to think that's what made me special."" - Joe Morgan"
National League,1985,1985 NATIONAL LEAGUE,"""I'm just like everybody else. I have two arms, two legs and four-thousand hits."" - Pete Rose"
National League,1986,1986 NATIONAL LEAGUE,"""These days they have a stat for how many times a guy goes for a cup of coffee."" - Mark McGwire"
National League,1987,1987 NATIONAL LEAGUE,"""When Steve (Carlton) and I die, we're going to be buried sixty feet, six inches apart."" - Tim McCarver"
National League,1988,1988 NATIONAL LEAGUE,"""The Ruth is mighty and shall prevail. He did yesterday."" - New York World Article from 1912"
National League,1989,1989 NATIONAL LEAGUE,"""A catcher and his body are like the outlaw and his horse. He's got to ride that nag till it drops."" - Johnny Bench"
National League,1990,1990 NATIONAL LEAGUE,"""Playing baseball for a living is like having a license to steal."" - Pete Rose"
National League,1991,1991 NATIONAL LEAGUE,"""This is another record, most wins, but the perfect game, nobody will ever take that away from me."" - Dennis Martinez"
National League,1992,1992 NATIONAL LEAGUE,"""If you don't think you're out, read the morning paper."" - Bill McGowan"
National League,1993,1993 NATIONAL LEAGUE,"""If you're not going to get room service you might as well win."" - John Kruk"
National League,1994,1994 NATIONAL LEAGUE,"""I have done all I could to change this situation. Clearly they are not capable of settling this strike without an umpire."" - President Bill Clinton"
National League,1995,1995 NATIONAL LEAGUE,"""A guy who strikes out as much as I do had better lead in something."" - Mike Schmidt on his third home run title"
National League,1996,1996 NATIONAL LEAGUE,"""There's magic in the Dodger uniform."" - Jimmy Wynn"
National League,1997,1997 NATIONAL LEAGUE,"""The groan is audible. It can also be heard."" - Harry Caray"
National League,1998,1998 NATIONAL LEAGUE,"""If it (Mark McGwire's homer) hadn't hit the scoreboard, it could have gone all the way around the world and hit me in the back of my head."" - Sandy Alomar, Jr."
National League,1999,1999 NATIONAL LEAGUE,"""You're as famous as Mark McGwire"" said a fan at the game, ""I don't want to go there!"" - Pitcher Jose Jimenez after tossing his no-hitter"
National League,2000,2000 NATIONAL LEAGUE,"""He's (Mike Hampton of the New York Mets) been pitching that way all year (2000). We just haven't scored enough runs for him."" - Robin Ventura"
National League,2001,2001 NATIONAL LEAGUE,"""People will come out to see great players, but you know you're looking at a very special player when they come out like this just to watch him (Mark McGwire) take batting practice."" - Dave Parker"
National League,2002,2002 NATIONAL LEAGUE,"""I'd rather win the World Series, but this (winning the MVP Award) is great. I'm very happy about it, very excited. I'm trying to figure out why a 38-year-old player is still playing like this. Forget the historical part about MVPs. I'm overjoyed, very happy, very pleased, especially coming off the 73-home-run year, to be able to pretty much stay consistent."" - Barry Bonds (2002)"
National League,2003,2003 NATIONAL LEAGUE,"""It's probably the biggest moment of my professional career (winning 9-6 in Game 7 versus Chicago)I can't even explain it. It probably hasn't even sunk in yet, but I do know that it's a wonderful feeling. People asked me was I going to come back for next year, and I told them if I get in the World Series and manage the All-Star team, I'll definitely be back."" - Florida Marlins Manager Jack McKeon"
National League,2004,2004 NATIONAL LEAGUE,"""I'm very proud of him (Greg Maddux) and I'm proud I had the opportunity to play with him. He was the epitome of consistency over his career. He's done a wonderful job to get to the point he's at. Those who know him will probably show much more excitement and emotion over it than he will. At some point, though, he'll break down and let everyone know what his career has meant to him. But I don't anticipate it at three-hundred.""- New York Mets Pitcher / Former TeammateTom Glavine on MLB.com (August 7, 2004)"
National League,2005,2005 NATIONAL LEAGUE,"""I think he (Albert Pujols) deserved it (the 2005 Most Valuable Player Award). The voting was the right vote. He was the right choice.He had the most solid season average wise, home-run wise and RBI wise."" - Atlanta Braves Outfielder Andruw Jones on ESPN.com (AP Wire, 11/16/2005)"
National League,2006,2006 NATIONAL LEAGUE,"""There's room for a ton of improvement. That's the good news. The bad news is we've (2006 Atlanta Braves) just done about everything you can do wrong in one season."" - John Smoltz on MLB.com (Mark Bowman, 10/02/2006)"
National League,2007,2007 NATIONAL LEAGUE,"""They defy the numbers. They defy the experts. They practically defy logic itself. But that's the beauty of those improbable Arizona Diamondbacks. They're a reminder to all of us that there are no magic formulas in this game they play.They remind us that you don't need a bunch of old guys with October experience to win. They remind us that you don't need to lead the league in numbers -- any numbers -- to win. In this sabermetric age we live in, we forget that teams like this are possible -- teams that are more than the sum of any of their statistical parts. But they are possible, all right."" - Columnist Jayson Stark on ESPN.com (10/06/2007)"
National League,2008,2008 NATIONAL LEAGUE,"""Baseball never promises you a happy ending. In fact, it braces you for failure more than success, so that you fully appreciate the latter. There are 30 teams, and seven of those have advanced to the postseason; the Twins or White Sox loom as the eighth and last. Baseball dooms you to two failures in every three at-bats on average, if you're lucky. And so it goes for ballparks: No Major League stadium ever has gone out a world champ, and thus there will be no last hurrah at either New York yard."" - Newman, Mark. MLB Staff Writer.It's a wonderful world in baseball. 29 September 2008."
National League,2009,2009 NATIONAL LEAGUE,"""When the history of this (becoming the first player in baseball history to homer as the first batter in a new ballpark) is being written, my place is in it is going to be very light, very shallow. It's going to be about Tom Seaver throwing the first pitch to Mike Piazza and it's going to be about Donald Trump and Mayor Bloomberg being in the first row and just the aura about the whole thing. I was happy to be there. Don't get me wrong. But when the history is written, it's going to be less of a big deal."" - Jody Gerut in the San Diego Union-Tribune (Tim Sullivan, 04/13/2009, 'Gerut not jacked by Citi Field first', Link)"
National League,2010,2010 NATIONAL LEAGUE,"""I imagined early in the year I'd be in the N.L.C.S., playing at Citi Field. Instead I'll be in the A.L.C.S."" - Jeff Francoeur in the New York Times (Pat Borzi, 10/14/2010, 'Francoeur Misses His Friends but Is Happy in the Playoffs', Link)"
National League,2011,2011 NATIONAL LEAGUE,"""It's like [La Russa and his coaches] know exactly what's going to happen before it happens,"" Schumaker said. ""I'm telling you, he's so prepared. He's got like three different charts that he looks at. I try to look at them, and he hides them. I don't even know what they are. They're like little [notebooks] that have all kinds of stats and matchups and all kinds of stuff. … I've tried to sneak a glance, and he puts it in his pocket. So I don't know if he knows I'm looking or what. But I'm sure he's had these things for years and years."" - Jayson Stark, Jayson. ESPN Writer. Tony La Russa wins Gm. 1 chess match. 20 October 2011."
National League,2012,2012 NATIONAL LEAGUE,"""We (the 2012 San Francisco Giants) didn't allow doubt to ever creep in. You know, the thing that made this team so special is just playing as a team, caring for each other. We had our backs against the wall and we knew it wasn't going to be easy. It's not supposed to be."" - Hunter Pence on Fox Sports (10/29/2012, 'Giants beat Tigers, win World Series', Source)"
National League,2013,2013 NATIONAL LEAGUE,"""The random nature of baseball's playoffs often blindsides regular-season juggernauts. Not this year. The 109th World Series, starting Wednesday in Boston, pits the 97-win Red Sox against the 97-win St. Louis Cardinals, the first time since 1999 each league is represented by teams with its best records. And these are two franchises loaded with tradition, smarts, resources and passionate - some might say entitled - fan bases. So who has the edge? USA TODAY Sports' Bob Nightengale and Paul White make the case for each pennant winner: The Cardinals will win because..."" - USA Today Writer Bob Nightengale (10/21/2013, Why the St. Louis Cardinals will win the World Series, Source)"
National League,2014,2014 NATIONAL LEAGUE,"""The '90s were difficult. We had a lot of headaches. We lost the 1994 World Series. That was a sad thing. … But history has proven that set up the next 21 years of labor peace. I can say the sport has never been more popular. In the last 10 years, we have had the most attendance ever. We have a labor peace that was unheard of. When I took over, the game's revenues were $1.7 billion. They are now $8.5 billion. People refer to the post-war era as the Golden Age of Baseball. Any way you look at it, this is the Golden Age of Baseball."" - Selig, Bud. Commissioner of Baseball. Selig having fun in his farewell tour of ballparks. Ringolsby, Tracy. MLB Staff Writer. 2 May 2014."
National League,2015,2015 NATIONAL LEAGUE,"""Another priority for me is to continue to modernize the game (in 2015) without interfering with its history and traditions. Last season's expanded instant replay improved the game's quality and addressed concerns shared by fans and players. We made a dramatic change without altering the game's fundamentals. I look forward to tapping into the power of technology to consider additional advancements that will continue to heighten the excitement of the game, improve the pace of play and attract more young people to the game"" - Commissioner of Baseball Rob Manfred (01/25/2015, 'Commissioner Rob Manfred's letter to fans', Source)"
National League,2016,2016 NATIONAL LEAGUE,"""It might as well be a matchup from a movie: the two teams with the longest title droughts in baseball paired in the same World Series. No wonder, then, that Joe Maddon has watched Field of Dreams since his Chicago Cubs clinched the National League pennant. 'I cry easily,' said Maddon, the Cubs’ manager. 'So the connection to the past is very important.' To loosely quote the script, the memories could be so thick at this World Series, the fans will have to swat them away from their faces. The Cubs have gone 108 years without a championship. The Cleveland Indians have gone 68. No other team in baseball has come close to so many consecutive unfulfilled seasons. 'The baseball gods are really happy right now,' the Indians' Mike Napoli said. 'I wanted the Cubs to win, just because I knew how cool it would be to be a part of it. I think it's going to be a special World Series. There's two droughts, and there’s going to be a winner.'"" - New York Times Staff Writer Tyler Kepner (10/24/2016, World Series Preview: For Cubs or Indians, Decades of Waiting Are Nearly Over, Source)"
National League,2017,2017 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
National League,2018,2018 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - Botte, Peter. New York Daily News Staff Writer. MLB commissioner Rob Manfred says National League could implement DH by 2017. 21 January 2016."
National League,2019,2019 NATIONAL LEAGUE,"""Twenty years ago, when you talked to National League owners about the DH, you'd think you were talking some sort of heretical comment,"" Manfred told reporters Thursday at the owners meetings in Coral Gables, Fla. ""But we have a newer group. There's been turnover. And I think our owners in general have demonstrated a willingness to change the game in ways that we think would be good for the fans, always respecting the history and traditions of the sport."" - New York Daily News Staff Peter Botte (01/21/2016, MLB commissioner Rob Manfred says National League could implement DH by 2017, Source)"
National League,2020,2020 NATIONAL LEAGUE,"""I mean, it's a little different because we just played 60 games and I didn't get to play all 60 games. I just feel good about it (winning the National League batting title) because you see how consistent you've got to be to win it. That means you've got to be consistent the whole two months. So, it just feels good."" - Juan Soto"
National League,2021,2021 NATIONAL LEAGUE,"""I think it's (expanding the postseason) good for baseball because it creates competitiveness. The fans know that if there's eight playoff spots in each league, you're going to have eleven or twelve teams competing for those spots. You know in some form you're going to be in it. So the more things we can do to create competition, I think that helps."" - Boras, Scott. USA Today: MLB rule changes: League still discussing universal DH and expanded playoffs for 2021 season. 15 January 2021."
National League,2022,2022 NATIONAL LEAGUE,"""I understand the job description. The job description here isn't to be competitive or try to win more games than you lose. It's to be the last team standing (in 2022)."" - Showalter, Buck. New York Mets Manager. Press Conference. 21 December 2021."
National League,2023,2023 NATIONAL LEAGUE,"""Way-too-early Power Rankings, New Year's edition: 2. Mets. (Number one in the National League) This ranking is somewhat based on the assumption that eventually Carlos Correa will come to an agreement with the Mets, but as we've watched this play out, there's really no way of knowing where the shortstop (or is he a third baseman?) will land. Let's just say the Mets are our No. 2 pick based on a few seemingly strong free-agent signings and the fact that they were just really good in '22, despite how sourly the season ended. But be warned: Things can unravel for an older team, and the Mets are going to employ a starting rotation with a lot of miles on some of their arms."" - Footer, Alyson. MLB Staff Writer. Here are the first Power Rankings of 2023. 1 January 2023."
National League,2024,2024 NATIONAL LEAGUE,"""After a wild postseason that ended with the Texas Rangers winning their first World Series in franchise history, the 2023 Major League Baseball season is officially in the books. Now that the dust has settled, it’s time to start looking ahead to the 2024 campaign. While the odds for 2024 MLB futures bets will shift as the season unfolds, we already have a reasonable idea of how this year will play out and which clubs could be the last one standing. Despite falling short in 2023, the Los Angeles Dodgers are favored to win the 2024 World Series after signing two-time MVP Shohei Ohtani and Japanese pitching star Yoshinobu Yamamoto in December. The Dodgers’ most recent title was in 2020."" - Maher, Tyler. Forbes Staff Writer. World Series Odds: MLB Futures 2024. 26 February 2024."
National League,2025,2025 NATIONAL LEAGUE,"""The 2025 National League season promises to be a captivating chapter in baseball's storied history, with rising stars, established legends, and thrilling rivalries taking center stage. As we embark on this new season, Baseball Almanac celebrates the players, teams, and moments that continue to define America's pastime. From record-breaking feats to unforgettable milestones, the National League is set to deliver a season of excitement and inspiration, further cementing the legacy of Major League Baseball."" - Baseball Almanac Press Release. 18 March 2025."
Players League,1890,1890 PLAYERS LEAGUE,"""The Players' League was a case of skilled laborers attempting to regain control over the sale of their product (baseball games) from the profit driven entrepreneurs who controlled the established major leagues."" - Ethan Lewis in A Structure To Last Forever"":The Players' League And The Brotherhood War of 1890 (2001)"
Union Association,1884,1884 UNION ASSOCIATION,"""It isn't so long ago that a great American President - Abraham Lincoln - freed negro slaves. Now we have leagues which practice a reserve clause which holds athletic young men in perpetual bondage."" - Henry V. Lucas"
